No,Nama Motor,Usia Motor (tahun),Jarak Tempuh (km),Gejala Kerusakan,Kelas Perawatan Kebutuhan,Komponen yang Diperiksa,Harga (Rp)
977,KTM 1290 Super Duke R,6,45000,Suara mesin kasar,Tinggi,"Overhaul Mesin, Ganti Stang Seher","Rp 1,522,500"
978,Viar Cross X 150,5,40000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 270,000"
979,BMW G 310 R,3,25000,Normal,Ringan,Ganti Oli,"Rp 262,500"
980,Husqvarna FE 501,4,30000,Shock depan mati,Sedang,"Servis Shock Depan, Ganti Oli","Rp 765,000"
981,Ducati Diavel,5,40000,Aki soak,Sedang,"Ganti Aki, Cek Kiprok","Rp 770,000"
982,Harley-Davidson V-Rod,7,55000,Mesin mati mendadak,Tinggi,"Ganti Koil, Cek Wiring Harness","Rp 1,527,500"
983,KTM Duke 790,4,30000,Lampu MIL menyala (Injeksi),Tinggi,"Ganti Injektor, Servis Berat","Rp 1,515,000"
984,Viar Karya Bit,8,75000,Rem blong,Sedang,"Ganti Master Rem, Kampas Rem","Rp 787,500"
985,BMW K 1600 GTL,6,50000,Kelistrikan mati (Navigasi),Tinggi,"Ganti Modul Kelistrikan, Servis Berat","Rp 1,525,000"
986,Husqvarna Svartpilen 250,2,15000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 257,500"
987,Ducati Panigale V2,4,20000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 760,000"
988,Harley-Davidson Low Rider,6,48000,Suara klotok di mesin,Tinggi,"Ganti Lifter/Tappet, Servis Berat","Rp 1,524,000"
989,KTM RC 390,5,35000,Mesin panas berlebih,Sedang,"Ganti Air Radiator, Cek Selang","Rp 767,500"
990,Viar Cross X 200,3,22000,Tarikan berat,Sedang,"Servis Karburator, Ganti Filter","Rp 761,000"
991,BMW G 310 GS,4,30000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 265,000"
992,Husqvarna Vitpilen 401,5,40000,Shock belakang keras,Sedang,Servis Shock Belakang,"Rp 770,000"
993,Ducati Monster 797,7,60000,Asap knalpot putih,Tinggi,"Ganti Ring Piston, Overhaul","Rp 1,530,000"
994,Harley-Davidson Heritage Classic,8,60000,Aki cepat tekor,Tinggi,"Ganti Spul (Stator), Ganti Kiprok","Rp 1,530,000"
995,KTM Duke 200,3,25000,Normal,Ringan,Ganti Oli,"Rp 262,500"
996,Viar Karya Bit,4,35000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 767,500"
997,BMW R 1200 GS,7,65000,Lampu utama mati,Tinggi,Ganti Modul Lampu (CanBus),"Rp 1,532,500"
998,Husqvarna FE 450,6,50000,Oli bocor parah,Tinggi,"Overhaul, Ganti Paking Total","Rp 1,525,000"
999,Ducati XDiavel,5,30000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 265,000"
1000,Harley-Davidson Breakout,4,20000,Rem ABS bermasalah,Tinggi,"Ganti Sensor ABS, Scan ECU","Rp 1,510,000"
